Customer_name,Flag
AMERICAN INTERNATIONAL SCHOOL,Forex
PIRAMAL ENTERPRISES LIMITED,Forex
ASPIRE HOME FINANCE CORPORATIO,Forex
ITC LIMITED,Forex
ADANI ENTERPRISES LTD,Forex
DEWAN HOUSING FINANCE CORN LTD,Forex
ADANI BUNKERING PRIVATE LIMITE,Forex
AADHAR HOUSING FINANCE  LIMITE,Forex
REPCO HOME FINANCE LIMITED,Forex
ADANI HAZIRA PORT PVT LTD,Forex
ADANI PORTS AND SPECIAL ECONOM,Forex
ADANI TRANSMISSION (INDIA) LIM,Forex
ADANI ENNORE CONTAINER TERMINA,Forex
ADANI MURMUGAO PORT TERMINAL P,Forex
INDIAN SCHOOL OF PETROLEUM & E,Forex
GERMAN INTERNATIONAL SCHOOL PR,Forex
AMITY GLOBAL SCHOOLS PVT LTD,Forex
ADANI PETRONET (DAHEJ) PORT PV,Forex
SINGAPORE INTERNATIONAL SCHOOL,Forex
ADANI POWER MAHARASHTRA LTD,Forex
GRAND HYATT MUMBAI COLLECTION,Forex
ADANI GREEN ENERGY LIMITED,Forex
ADANI INTERNATIONAL CONTAINER,Forex
AVE MARIA NURSERY SCHOOL (FORM,Forex
KENSRI SCHOOL,Forex
SREENIDHI INTERNATIONAL SCHOOL,Forex
ADANI SYNENERGY LIMITED,Forex
NAVA BHARAT LIMITED COLLECTION,Forex
NATIONAL SCHOOL OF BUSINESS,Forex
ADANI DEVELOPERS PRIVATE LIMIT,Forex
EQUITAS HOUSING FINANCE LTD -,Forex
"ST MARY'S NURSERY SCHOOL,VASAN",Forex
MOUNT LITERA SCHOOL INTERNATIO,Forex
ADANI KANDLA BULK TERMINAL PRI,Forex
INDIAN PUBLIC SCHOOL PRIVATE L,Forex
SHRI SHAKTI SCHOOLS PRIVATE LT,Forex
THE BEACON HOUSE SCHOOL,Forex
ADANI WILMAR LIMITED,Forex
ESSENCE COLLECTION PVT LTD,Forex
ADANI INFRA (INDIA) LIMITED,Forex
ADANI WILMAR LTD,Forex
VRUKSHA MONTESSORI SCHOOL,Forex
ADANI FOOD PRODUCTS PVT LTD,Forex
ADANI GREEN ENERGY (TAMILNADU),Forex
THE BLUE MOUNTAINS SCHOOL,Forex
ADANI POWER RAJASTHAN LTD,Forex
BISHOP COTTON SCHOOL SHIMLA,Forex
ADANI SHIPPING (INDIA) PRIVATE,Forex
HARVEST INTERNATIONAL SCHOOL,Forex
MUSSOORIE INTERNATIONAL SCHOOL,Forex
ESSAR OIL LIMITED,Forex
ESSAR PROJECTS (I) LIMITED,Forex
ESSAR STEEL INDIA LIMITED,Forex
ESSAR SHIPPING LIMITED FCCB IN,Forex
EDELWEISS COMMODITIES LIMITED,Forex
ESSAR ENGINEERS,Forex
ESSAR DIAMONDS,Forex
ALEMBIC PHARMACEUTICALS LTD,Forex
VARSITY DIVIDEND ACCOUNT 2016,Forex
'CENTRUM BROKING LIMITED-CENTR,Forex
DIRECTOR OF AGRICULTURE & FOOD,Forex
GEOJIT BNP PARIBAS FINANCIAL S,Forex
L&T-SUCG JV CC27 DELHI,Forex
MMTC-PAMP INDIA PRIVATE LIMITE,Forex
ROSE VALLEY HOTEL AND ENTERTAI,Forex
ECS DIVIDEND ACCOUNT 2014 OF M,Forex
NATIONAL INS CO LTD BR OFC-CHH,Forex
EVEREST INDUSTRIES LIMITED,Forex
JANALAKSHMI FINANCIAL SERVICE,Forex
M/S SERAJUDDIN & CO,Forex
